,renda_mensal,renda_anual,idade,score_credito,tempo_emprego_atual,valor_solicitado,valor_aprovado
renda_mensal,1.0,0.9966630741460244,0.30157633132180534,0.12401341502997913,0.2290809203562317,0.5990166289979794,0.39876900213263294
renda_anual,0.9966630741460244,1.0,0.2997771313448263,0.1307841350879623,0.22999600505896273,0.5932751341631419,0.3992342829836979
idade,0.30157633132180534,0.2997771313448263,1.0,0.16702490475748943,0.5171306962019211,0.207332498598573,0.16741270053820098
score_credito,0.12401341502997913,0.1307841350879623,0.16702490475748943,1.0,0.18877067202088765,0.12677151123972022,0.4428625328610762
tempo_emprego_atual,0.2290809203562317,0.22999600505896273,0.5171306962019211,0.18877067202088765,1.0,0.12487871663386908,0.09566879731754274
valor_solicitado,0.5990166289979794,0.5932751341631419,0.207332498598573,0.12677151123972022,0.12487871663386908,1.0,0.6487340732986212
valor_aprovado,0.39876900213263294,0.3992342829836979,0.16741270053820098,0.4428625328610762,0.09566879731754274,0.6487340732986212,1.0
